column,level
305,64
305,65
305,66
846,59
846,60
853,60
853,61
853,62
854,57
854,58
854,59
854,60
854,61
854,62
854,63
854,64
2089,54
3002,64
3002,65
3280,51
3294,50
3301,50
3555,49
3563,51
3564,51
3565,50
3825,49
3836,50
3837,49
3837,50
3838,49
3839,50
3841,50
3854,50
3855,49
3855,50
3858,50
4105,49
4547,47
4830,50
4830,69
4832,50
4833,50
4837,50
4840,50
5099,49
5100,50
8231,63
8231,64
8235,62
8235,63
8235,64
8235,65
8250,70
8250,71
8260,69
8495,59
8495,60
8495,61
8496,59
8496,60
8496,61
8504,60
8510,58
8510,59
8510,60
8511,59
8511,60
8511,61
8511,62
8512,59
8512,60
8513,60
8513,61
8513,62
8521,60
8521,61
8521,62
8535,58
8545,58
8545,59
8739,52
8991,54
8994,53
8995,54
8996,52
8997,51
8998,53
9001,61
9001,62
9216,58
9224,56
9225,56
9225,57
9225,58
9225,59
9229,55
9232,58
9232,59
9233,55
9233,58
9233,59
9234,57
9234,58
9234,59
9242,57
9242,58
9251,60
9488,60
9489,60
9496,58
9496,59
9496,60
9497,59
9497,60
9497,61
9498,60
9498,61
9499,62
9500,62
9501,62
9505,60
9762,55
9762,56
10391,47
10394,50
10668,49
11083,48
11375,49
11622,53
12353,65
12579,65
12579,66
12601,49
12602,49
12605,49
12606,49
13689,54
13689,55
13689,56
13689,57
13693,57
13693,58
13952,59
13952,60
13952,61
13953,53
13953,57
13953,58
13953,59
13953,60
13953,61
13955,58
13955,59
13955,60
13955,61
13955,62
13955,63
13956,57
13956,58
13956,59
13956,60
13956,61
13956,62
13958,59
13958,60
13958,61
13959,59
13959,60
13959,61
13963,56
13963,57
13963,58
13963,59
13963,60
13963,61
13966,59
13966,60
14522,60
14522,61
14522,62
14523,60
14523,61
14523,62
14741,55
14741,58
14997,54
15000,70
15004,56
15078,61
16618,62
16618,63
16619,64
16619,65
16622,52
16623,52
16624,64
16624,65
16624,66
16624,67
16633,52
16636,52
16939,66
16940,62
16940,63
16940,64
16940,65
16941,58
16941,59
16941,60
16941,61
16941,62
16948,56
16948,57
16948,58
16948,59
17217,59
17217,60
17222,57
17222,58
18636,50
18638,50
18639,50
18641,50
18643,50
18644,50
18895,49
18902,49
18996,47
18996,49
20262,55
21059,56
22106,55
24122,64
24136,62
24396,65
24396,66
24396,67
24403,67
24403,68
24406,65
24406,66
24406,67
25043,54
25857,51
26122,50
27244,55
27336,64
27336,65
27336,66
27339,55
27339,56
27446,52
27596,58
27600,57
27601,63
27601,64
28122,59
28148,45
28386,61
28386,62
28386,63
28386,64
28386,65
28657,62
28657,63
28922,49
28930,52
28930,53
28932,50
29193,49
29564,52
29602,52
29603,52
29670,49
29671,49
29924,49
29953,66
29953,67
29954,67
29954,68
30212,59
30212,60
30212,61
30212,62
30212,63
30218,61
30218,62
30218,63
30218,64
30218,65
30219,59
30219,60
30219,61
30219,62
30219,63
30219,64
30219,65
30220,56
30220,57
30228,62
30228,63
30731,61
30731,62
30731,63
30731,64
30991,63
30991,64
30991,65
30991,66
30992,60
30992,61
30992,62
30992,63
30992,64
31522,65
31522,66
31522,67
31523,65
31523,66
31528,65
31528,66
31528,67
31529,64
31529,65
31529,66
31529,67
31532,64
31536,65
31536,66
31539,64
31539,65
31774,65
31774,66
31775,64
31775,65
31775,66
31775,67
31777,65
31777,66
31780,65
31780,66
31782,64
31782,65
31782,66
31782,67
32107,62
32107,63
32107,64
32108,59
32108,60
32108,61
32108,62
32115,58
32115,59
32119,65
32119,66
32120,65
32120,66
32120,67
32120,68
32128,64
32128,65
32871,53
32874,54
32880,53
32882,53
33127,55
33264,56
33265,56
33267,56
33515,57
33516,58
33518,63
33522,57
33767,58
33767,59
33769,58
33770,58
33771,59
33772,59
33773,59
33774,58
33774,59
33775,60
33777,58
33778,58
34011,63
34012,59
34013,59
34014,64
34015,60
34016,60
34021,60
34022,60
34023,60
34024,61
34025,61
34027,60
34028,59
34028,60
34029,61
34030,61
34031,62
34032,62
34035,60
34276,62
34277,61
34283,67
34284,61
34285,62
34290,66
34291,66
34296,66
34346,60
34352,58
34353,59
34355,58
34358,58
34360,60
34551,67
34601,62
34601,63
34604,61
34604,62
34607,60
34608,60
34608,61
34608,62
34609,59
34610,58
34611,59
34611,60
34612,57
34612,58
34613,57
34616,59
34617,58
34620,57
34621,56
34622,57
34624,60
34624,61
34864,63
34864,64
34865,60
34867,61
34868,58
34868,59
34869,68
34870,59
34870,60
34870,61
34871,59
34872,58
34872,59
34872,60
34873,56
34873,57
34875,57
34875,58
34876,56
34876,57
34877,56
34878,57
34878,58
34879,57
34880,57
34881,56
34882,55
34883,55
34884,56
34885,55
34885,60
34885,61
34886,54
34886,60
34886,61
34886,62
34887,56
34888,55
34888,60
34889,54
34889,59
34889,60
34889,61
34894,60
34894,61
34895,58
35131,58
35131,59
35131,60
35132,59
35133,68
35134,58
35134,59
35137,59
35139,58
35140,57
35141,56
35142,58
35143,58
35144,57
35148,56
35149,55
35150,59
35150,60
35150,61
35151,56
35154,55
35154,56
35154,57
35155,57
35157,60
35157,61
35159,59
35159,60
35159,61
35160,60
35160,61
35161,58
35161,59
35161,60
35161,61
35161,62
35162,60
35162,61
35190,60
35190,61
35194,61
35197,61
35404,65
35417,57
35417,58
35417,59
35424,58
35424,59
35424,60
35425,59
35425,60
35425,61
35425,62
35426,56
35426,57
35426,58
35426,59
35427,59
35427,60
35427,61
35429,58
35429,59
35459,62
35462,62
35473,63
35474,64
35482,67
35665,68
35673,63
35676,65
35677,63
35733,63
35734,64
35735,64
35742,65
35951,58
35951,59
35969,59
35979,59
36240,59
36244,59
36245,60
36248,60
36255,60
36516,60
36520,60
36521,60
36528,61
36529,62
36531,60
36532,60
36532,61
36533,61
36533,62
36540,63
36541,64
36793,61
36794,61
36794,62
36801,61
36801,62
36802,62
36802,63
36803,63
