column,level
50,52
58,52
62,50
70,49
305,64
305,65
305,66
394,53
395,50
398,50
399,49
399,50
401,51
402,50
403,49
412,49
430,53
455,53
696,52
697,52
701,52
702,53
718,54
719,54
733,52
736,52
846,59
846,60
853,60
853,61
853,62
854,57
854,58
854,59
854,60
854,61
854,62
854,63
854,64
888,55
889,54
963,53
966,53
966,54
967,50
967,51
967,52
968,50
968,51
968,53
969,53
970,53
971,51
971,53
973,53
974,53
975,53
979,53
982,52
982,53
996,52
1092,53
1100,53
1121,51
1122,53
1153,54
1157,56
1158,55
1163,56
1241,50
1241,53
1242,51
1242,52
1244,51
1245,51
1245,52
1248,51
1249,52
1252,51
1252,52
1253,52
1254,51
1257,51
1283,51
1283,52
1363,53
1364,54
1365,55
1518,51
1523,51
1572,51
1572,52
1575,50
1582,51
1583,51
1584,52
1630,54
1681,63
1812,51
1812,52
1816,49
1817,52
1817,53
1818,53
1819,53
1825,53
1837,55
1841,50
1842,50
1849,50
1851,51
1858,52
1859,53
1861,55
1862,55
1863,55
1871,55
1877,54
2028,52
2032,52
2033,51
2034,50
2035,52
2036,51
2037,51
2038,52
2042,49
2043,49
2044,50
2046,50
2047,51
2048,51
2071,53
2077,51
2077,52
2086,54
2089,54
2109,56
2110,55
2217,49
2217,50
2224,49
2231,50
2234,50
2237,54
2238,50
2239,50
2240,49
2242,49
2244,48
2245,49
2266,47
2273,51
2274,52
2301,53
2305,52
2306,52
2307,52
2308,52
2311,52
2313,53
2314,53
2315,53
2316,53
2321,54
2322,54
2363,54
2512,49
2516,49
2517,49
2527,52
2540,49
2540,51
2543,51
2571,53
2579,52
2581,53
2584,52
2587,53
2589,54
2593,53
2598,54
2599,54
2600,54
2602,54
2604,54
2605,54
2613,54
2627,53
2794,52
2814,47
2814,48
2817,47
2818,47
2819,47
2820,47
2864,55
2869,54
2874,55
2883,54
3002,64
3002,65
3078,47
3085,47
3086,47
3087,54
3093,52
3145,56
3153,55
3160,54
3163,55
3165,54
3166,55
